time_step,SI,S2,S3,SY1_G,SY1_L,SY2_G,SY2_L,SY3_G,SY3L,BawY,BY_G,BY_L
139,17.1104,17.1104,17.1104,0,0.0171104,0,0.0171104,0,0.0171104,17.1104,0,0.0171104
140,15.8791,15.8791,15.8791,0,0.0158791,0,0.0158791,0,0.0158791,15.8791,0,0.0158791
141,14.2274,14.2274,14.2274,0,0.0142274,0,0.0142274,0,0.0142274,14.2274,0,0.0142274
142,12.2309,12.2309,12.2309,0,0.0122309,0,0.0122309,0,0.0122309,12.2309,0,0.0122309
143,9.82065,9.82065,9.82065,0,0.00982065,0,0.00982065,0,0.00982065,9.82065,0,0.00982065
144,7.62929,7.62929,7.62929,0,0.00762929,0,0.00762929,0,0.00762929,7.62929,0,0.00762929
145,6.10343,6.10343,6.10343,0,0.00610343,0,0.00610343,0,0.00610343,6.10343,0,0.00610343
146,5.45142,5.45142,5.45142,0,0.00545142,0,0.00545142,0,0.00545142,5.45142,0,0.00545142
147,5.13141,5.13141,5.13141,0,0.00513141,0,0.00513141,0,0.00513141,5.13141,0,0.00513141
148,5.13741,5.13741,5.13741,0,0.00513741,0,0.00513741,0,0.00513741,5.13741,0,0.00513741
149,5.36074,5.36074,5.36074,0,0.00536074,0,0.00536074,0,0.00536074,5.36074,0,0.00536074
150,6.67526,6.67526,6.67526,0,0.00667526,0,0.00667526,0,0.00667526,6.67526,0,0.00667526
151,8.29286,8.29286,8.29286,0,0.00829286,0,0.00829286,0,0.00829286,8.29286,0,0.00829286
152,7.28751,7.28751,7.28751,0,0.00728751,0,0.00728751,0,0.00728751,7.28751,0,0.00728751
153,4.6263,4.61581,4.61581,0,0.0046263,0,0.00461581,0,0.00461581,4.61581,0,0.00461581
154,1.37265,0,0,0,0.00137265,0,0,0,0,-3.08526,0.00308526,0
155,0.126748,0,0,0,0.000126748,0,0,0,0,-10.2359,0.0102359,0
156,-0.593959,0,0,0.000593959,0,0,0,0,0,-7.39535,0.00739535,0
157,-0.884594,0,0,0.000884594,0,0,0,0,0,-3.9623,0.0039623,0
158,2.62416,0.178287,0.178287,0,0.00262416,0,0.000178287,0,0.000178287,3.56574,0,0.00356574
159,4.07761,0.476621,0.476621,0,0.00407761,0,0.000476621,0,0.000476621,9.53243,0,0.00953243
160,6.16475,2.41353,2.41353,0,0.00616475,0,0.00241353,0,0.00241353,12.2428,0,0.0122428
161,10.3534,16.5109,16.5109,0,0.0103534,0,0.0165109,0,0.0165109,16.5109,0,0.0165109
162,15.0805,17.0467,17.0467,0,0.0150805,0,0.0170467,0,0.0170467,17.0467,0,0.0170467
163,15.1752,16.2786,16.2786,0,0.0151752,0,0.0162786,0,0.0162786,16.2786,0,0.0162786
164,14.3783,14.9513,14.9513,0,0.0143783,0,0.0149513,0,0.0149513,14.9513,0,0.0149513
165,13.8174,13.8174,13.8174,0,0.0138174,0,0.0138174,0,0.0138174,13.8174,0,0.0138174
166,12.1934,12.1934,12.1934,0,0.0121934,0,0.0121934,0,0.0121934,12.1934,0,0.0121934
167,10.2628,10.2628,10.2628,0,0.0102628,0,0.0102628,0,0.0102628,10.2628,0,0.0102628
168,8.04973,8.04973,8.04973,0,0.00804973,0,0.00804973,0,0.00804973,8.04973,0,0.00804973
169,6.40396,6.40396,6.40396,0,0.00640396,0,0.00640396,0,0.00640396,6.40396,0,0.00640396
170,5.45517,5.45517,5.45517,0,0.00545517,0,0.00545517,0,0.00545517,5.45517,0,0.00545517
171,5.15015,5.15015,5.15015,0,0.00515015,0,0.00515015,0,0.00515015,5.15015,0,0.00515015
172,5.15464,5.15464,5.15464,0,0.00515464,0,0.00515464,0,0.00515464,5.15464,0,0.00515464
173,5.38472,5.38472,5.38472,0,0.00538472,0,0.00538472,0,0.00538472,5.38472,0,0.00538472
174,6.64828,6.64828,6.64828,0,0.00664828,0,0.00664828,0,0.00664828,6.64828,0,0.00664828
175,8.45218,8.45218,8.45218,0,0.00845218,0,0.00845218,0,0.00845218,8.45218,0,0.00845218
176,5.29567,5.29567,5.29567,0,0.00529567,0,0.00529567,0,0.00529567,5.29567,0,0.00529567
177,2.95533,2.70622,2.70622,0,0.00295533,0,0.00270622,0,0.00270622,2.70622,0,0.00270622
178,2.14292,0.515353,0.515353,0,0.00214292,0,0.000515353,0,0.000515353,0.515353,0,0.000515353
179,1.29152,0,0,0,0.00129152,0,0,0,0,-2.69783,0.00269783,0
180,0.0567714,0,0,0,5.68E-05,0,0,0,0,-9.97102,0.00997102,0
181,-0.0756892,0,0,7.57E-05,0,0,0,0,0,-5.35957,0.00535957,0
182,2.27103,0.138485,0.138485,0,0.00227103,0,0.000138485,0,0.000138485,2.7697,0,0.0027697
183,4.00533,0.439263,0.439263,0,0.00400533,0,0.000439263,0,0.000439263,8.78527,0,0.00878527
184,6.07947,6.35886,6.35886,0,0.00607947,0,0.00635886,0,0.00635886,11.6523,0,0.0116523
185,10.2397,16.1234,16.1234,0,0.0102397,0,0.0161234,0,0.0161234,16.1234,0,0.0161234
186,15.6958,16.9905,16.9905,0,0.0156958,0,0.0169905,0,0.0169905,16.9905,0,0.0169905
187,15.1044,16.1624,16.1624,0,0.0151044,0,0.0161624,0,0.0161624,16.1624,0,0.0161624
188,14.9476,14.9476,14.9476,0,0.0149476,0,0.0149476,0,0.0149476,14.9476,0,0.0149476
189,13.6975,13.6975,13.6975,0,0.0136975,0,0.0136975,0,0.0136975,13.6975,0,0.0136975
190,12.0555,12.0555,12.0555,0,0.0120555,0,0.0120555,0,0.0120555,12.0555,0,0.0120555
191,10.0785,10.0785,10.0785,0,0.0100785,0,0.0100785,0,0.0100785,10.0785,0,0.0100785
192,7.91258,7.91258,7.91258,0,0.00791258,0,0.00791258,0,0.00791258,7.91258,0,0.00791258
193,6.3515,6.3515,6.3515,0,0.0063515,0,0.0063515,0,0.0063515,6.3515,0,0.0063515
194,5.45367,5.45367,5.45367,0,0.00545367,0,0.00545367,0,0.00545367,5.45367,0,0.00545367
195,5.15614,5.15614,5.15614,0,0.00515614,0,0.00515614,0,0.00515614,5.15614,0,0.00515614
196,5.15839,5.15839,5.15839,0,0.00515839,0,0.00515839,0,0.00515839,5.15839,0,0.00515839
197,5.35849,5.35849,5.35849,0,0.00535849,0,0.00535849,0,0.00535849,5.35849,0,0.00535849
198,6.75245,6.75245,6.75245,0,0.00675245,0,0.00675245,0,0.00675245,6.75245,0,0.00675245
199,8.415,8.415,8.415,0,0.008415,0,0.008415,0,0.008415,8.415,0,0.008415
200,3.87431,3.78282,3.78282,0,0.00387431,0,0.00378282,0,0.00378282,3.78282,0,0.00378282
201,1.14547,0,0,0,0.00114547,0,0,0,0,-4.01337,0.00401337,0
202,0.172921,0,0,0,0.000172921,0,0,0,0,-9.68034,0.00968034,0
203,-2.55167,0,0,0.00255167,0,0,0,0,0,-11.8964,0.0118964,0
204,-3.90819,0,-0.293974,0.00390819,0,0,0,0.000293974,0,-10.5398,0.0105398,0
205,-2.6899,0,-1.65335,0.0026899,0,0,0,0.00165335,0,-5.35437,0.00535437,0
206,1.62405,0.12052,0.12052,0,0.00162405,0,0.00012052,0,0.00012052,2.41039,0,0.00241039
