"time_step,me,e,d,S1_G,S1_L,S2_G,S2_L,l,S3_G,S3_L,B_gen,B_L"
"78,-8.612,0.16535,0,0,0.00016535,0,0,0,0,0,0.008612,0"
"79,-19.097,-5.20485,0,0.00520485,0,0,0,0.0192937,0,1.92937E-05,0.019097,0"
"80,-19.48,-8.76614,0,0.00876614,0,0,0,-3.97057,0.00397057,0,0.01948,0"
"81,-34.722,-23.6642,-13.4015,0.0236642,0,0.0134015,0,-23.5411,0.0235411,0,0.034722,0"
"82,-37.6537,-32.6446,-36.5877,0.0326446,0,0.0365877,0,-34.7181,0.0347181,0,0.0376537,0"
"83,-6.1685,-10.3276,-6.1152,0.0103276,0,0.0061152,0,-5.53679,0.00553679,0,0.0061685,0"
"84,-39.129,-35.8164,-39.1263,0.0358164,0,0.0391263,0,-37.752,0.037752,0,0.039129,0"
"85,-45.363,-39.2276,-45.3629,0.0392276,0,0.0453629,0,-45.2942,0.0452942,0,0.045363,0"
"86,-9.314,-8.15138,-9.31399,0.00815138,0,0.00931399,0,-9.31056,0.00931056,0,0.009314,0"
"87,-39.386,-38.005,-39.386,0.038005,0,0.039386,0,-39.3858,0.0393858,0,0.039386,0"
"88,-32.164,-31.4464,-32.164,0.0314464,0,0.032164,0,-34.3429,0.0343429,0,0.032164,0"
"89,1.99017,-9.88565,0.0995087,0.00988565,0,0,9.95087E-05,0.0995087,0,9.95087E-05,0,0.00199017"
"90,2.342,-1.64754,0.1171,0.00164754,0,0,0.0001171,0.1171,0,0.0001171,0,0.002342"
"91,5.113,-0.0606996,0.25565,6.06996E-05,0,0,0.00025565,0.25565,0,0.00025565,0,0.005113"
"92,6.791,2.63304,0.33955,0,0.00263304,0,0.00033955,0.33955,0,0.00033955,0,0.006791"
"93,4.206,0.9513,0.2103,0,0.0009513,0,0.0002103,0.2103,0,0.0002103,0,0.004206"
"94,4.111,0.805,0.20555,0,0.000805,0,0.00020555,0.20555,0,0.00020555,0,0.004111"
"95,5.786,1.38085,0.2893,0,0.00138085,0,0.0002893,0.2893,0,0.0002893,0,0.005786"
"96,6.395,1.78945,0.31975,0,0.00178945,0,0.00031975,0.905392,0,0.000905392,0,0.006395"
"97,5.653,3.1203,0.28265,0,0.0031203,0,0.00028265,1.08445,0,0.00108445,0,0.005653"
"98,6.379,4.52175,0.31895,0,0.00452175,0,0.00031895,2.25907,0,0.00225907,0,0.006379"
"99,5.156,3.55335,0.2578,0,0.00355335,0,0.0002578,1.8331,0,0.0018331,0,0.005156"
"100,5.009,3.3579,0.25045,0,0.0033579,0,0.00025045,2.35434,0,0.00235434,0,0.005009"
"101,4.362,2.1334,0.2181,0,0.0021334,0,0.0002181,2.02753,0,0.00202753,0,0.004362"
"102,-0.685,3.0243,0,0,0.0030243,0,0,0,0,0,0.000685,0"
"103,-5.085,5.02527,0,0,0.00502527,0,0,0,0,0,0.005085,0"
"104,-32.828,-13.7295,0,0.0137295,0,0,0,-2.92678,0.00292678,0,0.032828,0"
"105,-35.284,-23.8185,-8.65893,0.0238185,0,0.00865893,0,-24.9131,0.0249131,0,0.035284,0"
"106,-37.64,-35.4728,-36.3087,0.0354728,0,0.0363087,0,-34.2267,0.0342267,0,0.03764,0"
"107,-37.989,-30.3159,-37.9224,0.0303159,0,0.0379224,0,-28.665,0.028665,0,0.037989,0"
"108,-41.7037,-38.8745,-41.7003,0.0388745,0,0.0417003,0,-41.2375,0.0412375,0,0.0417037,0"
"109,-40.927,-39.6241,-40.9268,0.0396241,0,0.0409268,0,-40.9037,0.0409037,0,0.040927,0"
"110,-33.769,-33.7039,-33.769,0.0337039,0,0.033769,0,-33.7678,0.0337678,0,0.033769,0"
"111,-38.613,-38.6097,-38.613,0.0386097,0,0.038613,0,-38.6129,0.0386129,0,0.038613,0"
"112,-15.223,-15.8404,-15.223,0.0158404,0,0.015223,0,-15.223,0.015223,0,0.015223,0"
"113,-6.274,-10.6772,-6.274,0.0106772,0,0.006274,0,-6.274,0.006274,0,0.006274,0"
"114,2.343,-3.0011,0.11715,0.0030011,0,0,0.00011715,0.11715,0,0.00011715,0,0.002343"
